LOCATION,ADDRESS,CITY,ZIP,X,Y
763 S B ST  ELWOOD IN  MADISON CO,,ELWOOD,,,
PIKE COUNTY ARTHUR 11 SITE,,,,,
"16100 SOUTH LATHROP  HARVEY, IL",16100 SOUTH LATHROP,HARVEY,,,
"129 BARTER ST.  MOUNT VERNON, IN",129 BARTER ST.,MOUNT VERNON,,,
"11207 W. SR 10  DE MOTT, IN 46310",,DE MOTT,46310,,
"O'HARE AIRPORT  CHICAGO, IL  60666",,CHICAGO,60666,,
"87TH AND PULASKI RD  HOMETOWN, IL",87TH AND PULASKI RD,HOMETOWN,,,
"6795 E CR 600  MONTGOMERY, IN  DAVIEES COUNTY",6795 E CR 600,MONTGOMERY,,,
"600 EAST DALLAS ROAD  SUMNER, IL",600 EAST DALLAS ROAD,SUMNER,,,
"I65 NB 90.5  FRANKLIN, IN",,FRANKLIN,,,
"1030 E MARKET,   ""AREA 74, RIVER COMPLETION DOCK""",1030 E MARKET,,,,
"301 N RANDOLPH ST, GARRETT RAIL YARD, BI128",301 N RANDOLPH ST,GARRETT,,,
"RIVER MILE 479/OHIO RIVER  CINCINATTI, OH",,CINCINATTI,,,
"I-65 S, MM 93",,,,,
E OF CR1250E ON CR350S  OAKLAND CITY IN  GIBSON CO,,OAKLAND CITY,,,
1119 S SR 3  HARTFORD CITY  BLACKFORD CO,1119 S SR 3,HARTFORD CITY,,,
INDUSTRIAL AVENUE  GARY  ACROSS FROM AIRPORT ON THE NORTH SIDE,,GARY,,,
EAGLE CROSSING CLUBHOUSE/PLAYGROUND  SOUTHEAST CORNER OF PARKING LOT,,,,,
FT WAYNE CSX RAILYARD,,,,,
8947 E DELAWARE PARKWAY,8947 E DELAWARE PARKWAY,,,,
"DR. JAMES A DILLON PARK, SW CORNER OF EDENSHALL LANE AND KIRKENDALL CREEK, CREEK BANK IMMEDIATELY EAST OF PLAY GROUND.",EDENSHALL LANE AND KIRKENDALL CREEK,,,,
"RESERVE AT TIMBERS EDGE SUB-DIVISION, NORTH OF FRY ROAD, ROUGHLY 1 MILE WEST OF US 31",,,,,
WARREN CO  WEST LEBANON  301 N HIGH ST,301 N HIGH ST,WEST LEBANON,,,
1117 N 600 E,1117 N 600 E,,,,
ST JOSEPH  MISHAWAKA  WASTE WATER TREATMENT PLANT  OUTSIDE NW CORNER OF CHEMICAL STORAGE BUILDING   BETWEEN EAST AND WEST HALVES OF FACILITY,,MISHAWAKA,,,
BEHIND 207 EAST MAIN ST IN THE ALLEY,,,,,
2705 HARTS GRAVEL ROAD FRED SCHNELL FARM,2705 HARTS GRAVEL ROAD,,,,
"15825 LITTLE EAGLE CREEK AVE  WESTFIELD, IN  HAMILTON COUNTY",15825 LITTLE EAGLE CREEK AVE,WESTFIELD,,,
NORFOLK SOUTHERN RAILROAD ELKHART,,ELKHART,,,
"BEAVER DAMN LAKE  CLAYPOOL, KOSCIUSKO COUNTY",,CLAYPOOL,,,
"361 W.47TH STREET  CHICAGO, IL  COOK COUNTY",361 W.47TH STREET,CHICAGO,,,
"704 JEFFERSON PARK DR  PITTSBORO, IN  HENDRICKS CO",704 JEFFERSON PARK DR,PITTSBORO,,,
WABASH CO  LAGRO  200 DAVIS,200 DAVIS,LAGRO,,,
"5 MILES N OF TOWN  GRIFFIN, IN  POSEY CO",,GRIFFIN,,,
INTERSECTION OF MILLHOUSEN ROAD AND CR 650 W.,MILLHOUSEN ROAD AND CR 650 W.,,,,
"1824 LANARKSHIRE DR  GREENWOOD, IN  46143  JOHNSON COUNTY",1824 LANARKSHIRE DR,GREENWOOD,46143,,
"2 S MARION ST  HOLTON, IN  RIPLEY CO",2 S MARION ST,HOLTON,,,
"MUNROE HARBOR  CHICAGO, IL",,CHICAGO,,,
5411 W. 78TH STREET,5411 W. 78TH STREET,,,,
"25915 SE FRONTAGE ROAD  CHANNAHON, IL  60410",25915 SE FRONTAGE ROAD,CHANNAHON,60410,,
"MILE POST D146  FORT WAYNE, IN  46801  ALLEN COUNTY",,FORT WAYNE,46801,,
"STARKE CO  NORTH JUDSON  NW OF TOWN,   NORTH END OF SHERIDAN,   THEN WEST ABOUT 1250 FT",,NORTH JUDSON,,,
"814 RICHMOND AVE, FURNACE BUILDING BASEMENT",814 RICHMOND AVE,,,,
ST JOSEPH CO  SOUTH BEND  27201 EARLY RD  REAR OF PROPERTY NORTH OF HOUSE  ALONG RR TRACKS,27201 EARLY RD,SOUTH BEND,,,
"29TH AND LASALLE  CHICAGO, IL  COOK COUNTY",29TH AND LASALLE,CHICAGO,,,
1650 US 41  SCHERERVILLE,1650 US 41,SCHERERVILLE,,,
"I 65 NB MILEMARKER 145.2  LEBANON, IN  BOONE COUNTY",,LEBANON,,,
528 E SR 56  JASPER IN  DUBOIS CO,528 E SR 56,JASPER,,,
"1601 E MAIN STREET  GRIFFITH, IN  LAKE COUNTY",1601 E MAIN STREET,GRIFFITH,,,
WESTBOUND I-74 AT MM 68.8,,,,,
